[2019-01-31 23:27:40.458086] append(): assigning domain[zhaoshang.zhe800.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.459087] append(): assigning domain[www.qqbaobao.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.460085] append(): assigning domain[credit.szfw.org] to addr[127.0.0.1]
[2019-01-31 23:27:40.461086] append(): assigning domain[www.ef43.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.462085] append(): assigning domain[www.hc360.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.462085] append(): assigning domain[www.chachaba.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.463085] append(): assigning domain[www.kujia.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.464086] append(): assigning domain[www.askci.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.464086] append(): assigning domain[www.chinasspp.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.465085] append(): assigning domain[www.dadou.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.465085] append(): assigning domain[www.tieyou.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.466083] append(): assigning domain[www.s.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.467083] append(): assigning domain[www.114piaowu.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.468087] append(): assigning domain[v.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.469083] append(): assigning domain[e.t.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.470083] append(): assigning domain[www.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.470083] append(): assigning domain[cqcbepaper.cqnews.net] to addr[127.0.0.1]
[2019-01-31 23:27:40.472087] append(): assigning domain[www.uefa.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.477081] append(): assigning domain[view.inews.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.478080] append(): assigning domain[enews.xwh.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.480083] append(): assigning domain[soccer.stats.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.481084] append(): assigning domain[cga.sport.org.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.482083] append(): assigning domain[live.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.483082] append(): assigning domain[cn.clubatleticodemadrid.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.484085] append(): assigning domain[newspaper.jfdaily.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.486084] append(): assigning domain[epaper.jinghua.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.486084] append(): assigning domain[e.cdqss.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.487080] append(): assigning domain[szsb.sznews.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.488083] append(): assigning domain[kbs.sports.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.489083] append(): assigning domain[www.titan24.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.489083] append(): assigning domain[golf.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.491081] append(): assigning domain[cbadata.sports.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.494082] append(): assigning domain[www.cba.org.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.495083] append(): assigning domain[fiba.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.498083] append(): assigning domain[swimming.sport.org.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.499081] append(): assigning domain[www.premierleague.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.501081] append(): assigning domain[film.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.501081] append(): assigning domain[www.bundesliga.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.503080] append(): assigning domain[www.qingdaonizao.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.503080] append(): assigning domain[open.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.504081] append(): assigning domain[www.tctc.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.505081] append(): assigning domain[www.tencent.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.507081] append(): assigning domain[www.hilizi.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.508082] append(): assigning domain[fans.sports.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.510080] append(): assigning domain[nba.stats.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.512080] append(): assigning domain[qiaodan.jd.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.513080] append(): assigning domain[news.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.517081] append(): assigning domain[ctdsb.cnhubei.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.518081] append(): assigning domain[service.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.518081] append(): assigning domain[tabletennis.sport.org.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.520080] append(): assigning domain[www.nanfangdaily.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.520080] append(): assigning domain[kb.dsqq.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.524080] append(): assigning domain[t.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.525080] append(): assigning domain[sports.cctv.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.527080] append(): assigning domain[hr.tencent.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.537078] append(): assigning domain[epaper.tianjinwe.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.539079] append(): assigning domain[www.nflchina.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.540078] append(): assigning domain[vip.sports.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.541079] append(): assigning domain[ehsb.hsw.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.545079] append(): assigning domain[www.shooting.org.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.547080] append(): assigning domain[fcbarcelona.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.549079] append(): assigning domain[vs.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.550079] append(): assigning domain[hzdaily.hangzhou.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.551079] append(): assigning domain[gongyi.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.552078] append(): assigning domain[kelme.tmall.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.556078] append(): assigning domain[new.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.558076] append(): assigning domain[jnsb1.e23.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.559079] append(): assigning domain[www.tencentmind.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.563078] append(): assigning domain[mp.weixin.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.564078] append(): assigning domain[app.morningpost.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.565077] append(): assigning domain[www.weibo.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.565077] append(): assigning domain[bjcb.morningpost.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.566075] append(): assigning domain[www.bbtnews.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.567079] append(): assigning domain[special.morningpost.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.570077] append(): assigning domain[www.360yao.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.571077] append(): assigning domain[www.doctorjob.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.572078] append(): assigning domain[www.zyctd.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.573076] append(): assigning domain[www.chemicalbook.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.574076] append(): assigning domain[www.chinamsr.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.575079] append(): assigning domain[www.chinapubmed.net] to addr[127.0.0.1]
[2019-01-31 23:27:40.576077] append(): assigning domain[www.cnkivip.net] to addr[127.0.0.1]
[2019-01-31 23:27:40.576077] append(): assigning domain[www.baiji.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.577075] append(): assigning domain[jbk.39.net] to addr[127.0.0.1]
[2019-01-31 23:27:40.578078] append(): assigning domain[www.xctmr.com] to addr[127.0.0.1]
